k,t_k,a_k,b_k,wall_thickness,wall_error,E_500(t_k),E_500(t_k+0.5),A_500,ratio_zeros_500,ratio_off_500,E_200(t_k),E_101(t_k)
50,143.11184580762063,22.77695767528796,22.685090948988808,0.09186672629915194,2.0539125955565396e-15,-1.281092165528492,0.9874253066736859,1.4800563607762935,-0.8655698522565421,0.6671538549760218,-1.3121628465721107,-1.2224468203679957
51,146.0009824867655,23.236778059041974,23.14491133274282,0.09186672629915549,1.4988010832439613e-15,-1.4399331566612181,0.21280238303095225,1.4800563607762935,-0.9728907593126854,0.1437799185696799,-1.229847400484147,-1.3046555665316835
52,147.42276534255961,23.463061828544916,23.371195102245764,0.09186672629915194,2.0539125955565396e-15,-1.173531340843018,0.8763303806529938,1.4800563607762935,-0.7928963868831979,0.5920925742269411,-1.0127564042579453,-0.9041834225385174
53,150.05352042078488,23.881759503308572,23.78989277700942,0.09186672629915194,2.0539125955565396e-15,-2.1302361990566334,-1.1205752267841678,1.4800563607762935,-1.4392939725209646,-0.7571165912873906,-1.9472465686452949,-1.698858572353962
54,150.92525761224147,24.020500786405936,23.92863406010678,0.09186672629915549,1.4988010832439613e-15,-2.0940873499832025,0.4564299381886921,1.4800563607762935,-1.4148700046022895,0.3083868630173606,-1.952137095545821,-1.7543599792448923
55,153.0246938111989,24.35463643517607,24.262769708876913,0.09186672629915549,1.4988010832439613e-15,-0.8882348425217628,0.7731378251542399,1.4800563607762935,-0.60013582324384,0.5223705296930227,-0.9909825229214776,-0.8121179377700629
56,156.11290929423788,24.84614119463465,24.754274468335495,0.09186672629915549,1.4988010832439613e-15,-1.1995469073500984,0.13449043334469138,1.4800563607762935,-0.8104738029847274,0.09086845400546151,-1.0815771078340926,-1.175263318222115
57,157.59759181759406,25.082435757148936,24.99056903084978,0.09186672629915549,1.4988010832439613e-15,-1.9394439264693184,-0.4481184912142485,1.4800563607762935,-1.3103851838804805,-0.3027712343192182,-1.9545130574456242,-1.8676678313092834
58,158.8499881714205,25.28176082757068,25.189894101271527,0.09186672629915194,2.0539125955565396e-15,-1.6450564067087805,0.39325219452115256,1.4800563607762935,-1.1114822720980329,0.2657008239300365,-1.5794605966918078,-1.5602758211453593
59,161.18896413759603,25.654020414360655,25.562153688061503,0.09186672629915194,2.0539125955565396e-15,-1.0282402095931091,0.9057186878012414,1.4800563607762935,-0.6947304419230321,0.6119487823600106,-0.8187577719599908,-0.8462658014421705
60,163.030709687182,25.94714332249476,25.85527659619561,0.09186672629915194,2.0539125955565396e-15,-1.9763878338730823,0.5143528669251672,1.4800563607762935,-1.3353463329169855,0.347522486681107,-1.6632501833535585,-1.6823382220010359
61,165.5370691879004,26.346042826199433,26.254176099900278,0.09186672629915549,1.4988010832439613e-15,-1.507478091343393,0.21836694136206597,1.4800563607762935,-1.0185274907725248,0.14753961210472546,-1.0926655502311329,-1.0498283497823648
62,167.1844399781745,26.608230030576756,26.516363304277604,0.09186672629915194,2.0539125955565396e-15,-1.5682668692065156,0.10442479213569344,1.4800563607762935,-1.0595994252434788,0.07055460515092976,-1.233108800226831,-1.1624146693258117
63,169.09451541556882,26.912227978116476,26.82036125181732,0.09186672629915549,1.4988010832439613e-15,-2.1841963306371577,-1.0665532914752707,1.4800563607762935,-1.4757521325009142,-0.720616673621713,-1.9939558881113066,-1.839635608949172
64,169.9119764794117,27.04233094721223,26.950464220913073,0.09186672629915549,1.4988010832439613e-15,-1.6975609779697012,1.0721987150640568,1.4800563607762935,-1.1469569828268742,0.7244310037637254,-1.437184853131813,-1.2350935225590602
65,173.41153651959155,27.599303226253724,27.507436499954572,0.09186672629915194,2.0539125955565396e-15,-1.0770198434174865,0.15939953108063074,1.4800563607762935,-0.7276883988746122,0.10769828454169492,-0.91610949398859,-1.0171987693240492
66,174.75419152336573,27.812993406971454,27.7211266806723,0.09186672629915549,1.4988010832439613e-15,-1.554895410126836,0.32156657744249517,1.4800563607762935,-1.0505649996404793,0.21726644063326928,-1.447821137193793,-1.1935372950768106
67,176.44143429771043,28.081526434704493,27.98965970840534,0.09186672629915194,2.0539125955565396e-15,-1.7372333331026506,0.46530025195871205,1.4800563607762935,-1.1737616074238328,0.31438009003566647,-1.595758550660702,-1.1846999158534461
68,178.37740777609997,28.389646183485002,28.297779457185847,0.09186672629915549,1.4988010832439613e-15,-1.243705019318769,0.5897332645783041,1.4800563607762935,-0.8403092289447968,0.3984532482729154,-1.2654308789482225,-0.931975694758444
69,179.916484020257,28.6345977755379,28.542731049238746,0.09186672629915549,1.4988010832439613e-15,-1.2041061107561797,0.7579514051564689,1.4800563607762935,-0.813554228519124,0.5121098258440113,-1.0813562475585756,-1.140306397362026
70,182.20707848436646,28.999157207119854,28.9072904808207,0.09186672629915549,1.4988010832439613e-15,-0.9669825170254206,1.1279045853981975,1.4800563607762935,-0.6533416852573342,0.7620686720380084,-0.7983675007598261,-0.8041667516742461
71,184.8744678483875,29.423685409554547,29.331818683255392,0.09186672629915549,1.4988010832439613e-15,-2.1640225694548483,-2.0893218729410954,1.4800563607762935,-1.4621217318506794,-1.4116502102968838,-1.8037759025091307,-1.7743099134650568
72,185.59878367770747,29.538963854150527,29.447097127851375,0.09186672629915194,2.0539125955565396e-15,-2.715400777400907,-0.3357139662123376,1.4800563607762935,-1.8346603881872932,-0.22682512308940367,-2.312476687746783,-2.0971684965265944
73,187.22892258350186,29.798408518934117,29.70654179263496,0.09186672629915549,1.4988010832439613e-15,-1.7719687322310114,0.9192810247818702,1.4800563607762935,-1.1972305779636723,0.6211121746064486,-1.47011269698645,-1.4752725249155556
74,189.41615865601693,30.146517951583792,30.05465122528464,0.09186672629915194,2.0539125955565396e-15,-1.0625820061922677,1.0302779834883884,1.4800563607762935,-0.7179334749353333,0.6961072637450136,-0.9403539160763585,-0.6553245885069582
75,192.0266563607138,30.561991565216346,30.47012483891719,0.09186672629915549,1.4988010832439613e-15,-1.6538916410854498,0.31059411262749903,1.4800563607762935,-1.1174517977261211,0.20985289537527582,-1.3801047352891622,-1.2420323043076114
76,193.0797266038457,30.729592899833772,30.63772617353462,0.09186672629915194,2.0539125955565396e-15,-1.5061169863518984,0.4580736630166159,1.4800563607762935,-1.0176078602587377,0.3094974456083247,-1.5817639800359136,-1.2876299479218367
77,195.26539667952923,31.077453096346844,30.98558637004769,0.09186672629915194,2.0539125955565396e-15,-1.7643350742178203,0.45198763785025475,1.4800563607762935,-1.1920728973404917,0.30538542303428634,-1.602075740755016,-1.6125973987544546
78,196.87648184095832,31.33386526353029,31.241998537231133,0.09186672629915549,1.4988010832439613e-15,-1.8563401333839122,0.20988192940605782,1.4800563607762935,-1.2542361105831517,0.14180671423618907,-1.80658394756501,-1.564494895289223
79,198.01530967625192,31.515115342847906,31.423248616548754,0.09186672629915194,2.0539125955565396e-15,-1.2571942634840096,0.8179687842248935,1.4800563607762935,-0.8494232360344763,0.5526605647611059,-1.1279829885234107,-1.0514552712526364
80,201.2647519437038,32.03228014200461,31.940413415705457,0.09186672629915194,2.0539125955565396e-15,-0.9205112223266524,0.3238838665530594,1.4800563607762935,-0.6219433575109543,0.21883211689531973,-0.9639720451775307,-1.0073416080542794
81,202.49359451414054,32.22785651137137,32.13598978507221,0.09186672629915904,5.051514762044462e-15,-1.751303652253919,-0.15614153363231725,1.4800563607762935,-1.1832682177963516,-0.10549701874219208,-1.6531026728186284,-1.4740002284172378
82,204.18967180310455,32.49779559577589,32.40592886947674,0.09186672629915194,2.0539125955565396e-15,-1.835570339134122,0.006145508162275715,1.4800563607762935,-1.2402030002231539,0.004152212257006469,-1.7971316886188768,-1.6076854862614347
83,205.3946972021633,32.689581344587374,32.59771461828822,0.09186672629915194,2.0539125955565396e-15,-1.6594788604261785,0.6910403935872785,1.4800563607762935,-1.1212268021710858,0.4669014045011272,-1.630809767917263,-1.6048902317840366
84,207.90625888780622,33.08930880173766,32.99744207543851,0.09186672629915194,2.0539125955565396e-15,-1.4083767419519515,0.00752384464833028,1.4800563607762935,-0.9515696694234361,0.005083485229159789,-1.160828092542988,-0.8272087952887944
85,209.57650971685626,33.35513747738431,33.26327075108516,0.09186672629915194,2.0539125955565396e-15,-1.3414888966182732,1.3293530513708873,1.4800563607762935,-0.906376900346321,0.8981773171621911,-1.0929660939288657,-0.9586699396196273
86,211.6908625953653,33.6916471894396,33.59978046314045,0.09186672629915194,2.0539125955565396e-15,-1.5671388771333714,0.3060455795438026,1.4800563607762935,-1.05883729746035,0.20677967924362076,-1.6470500230343381,-1.2959429116081855
87,213.34791935971268,33.95537596446935,33.863509238170195,0.09186672629915194,2.0539125955565396e-15,-2.060413201562419,0.20065812388602372,1.4800563607762935,-1.3921180680455483,0.13557465053613094,-2.0867272686780796,-1.7182639093068202
88,214.54704478349143,34.1462227030509,34.054355976751744,0.09186672629915904,5.051514762044462e-15,-1.9467558507349705,0.18855574401258718,1.4800563607762935,-1.3153254851145613,0.1273976782300974,-1.9474520522495897,-1.8231317335167587
89,216.1695385082637,34.40445059948399,34.312583873184835,0.09186672629915194,2.0539125955565396e-15,-0.8085045198477613,0.9880583229729376,1.4800563607762935,-0.5462660350472724,0.6675815524043276,-0.8765555656961747,-0.5595867813133235
90,219.0675963490214,34.8656908302068,34.77382410390764,0.09186672629915904,5.051514762044462e-15,-0.8301506357190115,0.4947416332265189,1.4800563607762935,-0.5608912320633488,0.33427215769474183,-0.6478658555806613,-0.5748891403545482
91,220.714918839314,35.127870347403324,35.036003621104165,0.09186672629915904,5.051514762044462e-15,-2.186332500721752,-1.5477905388680049,1.4800563607762935,-1.4771954357028771,-1.0457645937592435,-1.877122070430738,-1.9031970620305296
92,221.43070555469333,35.24179134135545,35.1499246150563,0.09186672629915194,2.0539125955565396e-15,-1.9275020134014031,0.6161099753884127,1.4800563607762935,-1.3023166309629068,0.41627467150322667,-1.7410359742196808,-1.6790796507837042
93,224.00700025460432,35.65182137770773,35.55995465140858,0.09186672629915194,2.0539125955565396e-15,-1.8559738737612035,0.4070481246882951,1.4800563607762935,-1.2539886472889048,0.27502204340029135,-1.4110749393159816,-1.262687019045741
94,224.9833246695823,35.807208234412784,35.71534150811363,0.09186672629915194,2.0539125955565396e-15,-1.4971540017515161,0.8171927983769302,1.4800563607762935,-1.0115520201989165,0.5521362699649561,-1.2183293408334448,-1.077161269404912
95,227.4214442796793,36.195247022209,36.10338029590985,0.09186672629915194,2.0539125955565396e-15,-0.8215596054941865,0.9973189969612782,1.4800563607762935,-0.5550867029572281,0.6738385262830003,-0.7445582716231918,-0.6465946767048766
96,229.33741330552536,36.50018296348337,36.408316237184216,0.09186672629915194,2.0539125955565396e-15,-1.4363989597313802,1.1400504579060802,1.4800563607762935,-0.9705028793484494,0.77027503014015,-1.300766216255879,-1.0132251940541237
97,231.25018870049917,36.80461062261801,36.71274389631885,0.09186672629915904,5.051514762044462e-15,-2.1851060025871414,-1.9138464602601364,1.4800563607762935,-1.4763667523046538,-1.2930902572225822,-2.1242989313001086,-1.791063282734709
98,231.98723525318024,36.92191522476604,36.83004849846689,0.09186672629915194,2.0539125955565396e-15,-2.247069039320417,-0.038160076180341326,1.4800563607762935,-1.5182320747176297,-0.025782853404532693,-2.011613352982026,-1.702056388474355
99,233.6934041789083,37.193460443045446,37.101593716746294,0.09186672629915194,2.0539125955565396e-15,-0.8009169812463474,0.8931575291953284,1.4800563607762935,-0.5411395150021613,0.6034618362282264,-0.5915996300164431,-0.5923990612409209
100,236.5242296658162,37.64400031231736,37.55213358601821,0.09186672629915194,2.0539125955565396e-15,-1.1154964606153555,0.33578860583275394,1.4800563607762935,-0.7536851232004939,0.22687555334489554,-1.3661610068916588,-1.1618959789672199
