k,t_k,a_k,b_k,wall,err
78,196.87648184095832,31.33386526353029,31.241998537231133,0.09186672629915549,1.4988010832439613e-15
79,198.01530967625192,31.515115342847906,31.423248616548754,0.09186672629915194,2.0539125955565396e-15
80,201.2647519437038,32.03228014200461,31.940413415705457,0.09186672629915194,2.0539125955565396e-15
81,202.49359451414054,32.22785651137137,32.13598978507221,0.09186672629915904,5.051514762044462e-15
82,204.18967180310455,32.49779559577589,32.40592886947674,0.09186672629915194,2.0539125955565396e-15
83,205.3946972021633,32.689581344587374,32.59771461828822,0.09186672629915194,2.0539125955565396e-15
84,207.90625888780622,33.08930880173766,32.99744207543851,0.09186672629915194,2.0539125955565396e-15
85,209.57650971685626,33.35513747738431,33.26327075108516,0.09186672629915194,2.0539125955565396e-15
86,211.6908625953653,33.6916471894396,33.59978046314045,0.09186672629915194,2.0539125955565396e-15
87,213.34791935971268,33.95537596446935,33.863509238170195,0.09186672629915194,2.0539125955565396e-15
88,214.54704478349143,34.1462227030509,34.054355976751744,0.09186672629915904,5.051514762044462e-15
89,216.1695385082637,34.40445059948399,34.312583873184835,0.09186672629915194,2.0539125955565396e-15
90,219.0675963490214,34.8656908302068,34.77382410390764,0.09186672629915904,5.051514762044462e-15
91,220.714918839314,35.127870347403324,35.036003621104165,0.09186672629915904,5.051514762044462e-15
92,221.43070555469333,35.24179134135545,35.1499246150563,0.09186672629915194,2.0539125955565396e-15
93,224.00700025460432,35.65182137770773,35.55995465140858,0.09186672629915194,2.0539125955565396e-15
94,224.9833246695823,35.807208234412784,35.71534150811363,0.09186672629915194,2.0539125955565396e-15
95,227.4214442796793,36.195247022209,36.10338029590985,0.09186672629915194,2.0539125955565396e-15
96,229.33741330552536,36.50018296348337,36.408316237184216,0.09186672629915194,2.0539125955565396e-15
97,231.25018870049917,36.80461062261801,36.71274389631885,0.09186672629915904,5.051514762044462e-15
98,231.98723525318024,36.92191522476604,36.83004849846689,0.09186672629915194,2.0539125955565396e-15
99,233.6934041789083,37.193460443045446,37.101593716746294,0.09186672629915194,2.0539125955565396e-15
100,236.5242296658162,37.64400031231736,37.55213358601821,0.09186672629915194,2.0539125955565396e-15
